"filename", "language", "JSON with Comments", "JSON", "TypeScript", "SCSS", "TypeScript React", "XML", "Markdown", "JavaScript", "Docker", "comment", "blank", "total"
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\search.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\topArrow.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\twitter-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 48, 0, 0, 0, 1, 1, 50
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\up arrow.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\waves2.svg", "XML", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 1, 52
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AccordianComponent\AccordianComponent.tsx", "TypeScript React", 0, 0, 0, 0, 48, 0, 0, 0, 0, 1, 5, 54
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AccordianComponent\AccordianItemComponent.tsx\AccordianItemComponent.tsx", "TypeScript React", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AnimatedComponent\AnimatedComponent.tsx", "TypeScript React", 0, 0, 0, 0, 25, 0, 0, 0, 0, 17, 8, 50
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AnimatedComponent\AnimatedContainer.tsx", "TypeScript React", 0, 0, 0, 0, 23, 0, 0, 0, 0, 18, 8, 49
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AnimatedComponent\Points.tsx", "TypeScript React", 0, 0, 0, 0, 78, 0, 0, 0, 0, 1, 10, 89
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Badge\Badge.tsx", "TypeScript React", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\CustomCard\CustomCard.tsx", "TypeScript React", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
